q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,Country,Year,Income Group,Susceptibility,q27
15 or above,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
,Male,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
,Male,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
,Male,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Bhutan,2019,Lower middle income,susceptible,no
,Male,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Bhutan,2019,Lower middle income,susceptible,yes
,Male,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
13 or below,Male,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
13 or below,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Bhutan,2019,Lower middle income,susceptible,yes
13 or below,Male,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
13 or below,Male,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
13 or below,Male,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
13 or below,Male,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
14 years,Male,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
14 years,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
14 years,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
14 years,Male,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
14 years,Male,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,Male,No,Yes,Yes,No,Yes,,No,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
14 years,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,Yes,Yes,Yes,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
,Male,No,No,No,No,No,Yes,Yes,No,,,,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
,Male,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
,Male,No,No,Yes,No,,Yes,Yes,No,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
,Male,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
,,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,Yes,No,Yes,Yes,Yes,Yes,No,No,,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
,Male,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
,Male,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,yes
,Male,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,no
,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,no
15 or above,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
13 or below,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,Male,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,Male,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,Male,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
,,No,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
14 years,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,no
15 or above,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,no
15 or above,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Bhutan,2019,Lower middle income,susceptible,no
15 or above,Male,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,Male,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
15 or above,Male,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
,Male,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Bhutan,2019,Lower middle income,susceptible,no
,Male,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
13 or below,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
13 or below,,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
13 or below,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
13 or below,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,yes
13 or below,,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,no
13 or below,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,yes
14 years,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Bhutan,2019,Lower middle income,non-susceptible,no
14 years,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Bhutan,2019,Lower middle income,non-susceptible,no
15 or above,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Bhutan,2019,Lower middle income,susceptible,yes
15 or above,,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Bhutan,2019,Lower middle income,non-susceptible,no
